,serial_with_season,movie,serial_without_season
7791,0,5,0
7792,0,9871,0
7796,0,5215,0
7799,86,0,0
7800,0,1978,0
7801,0,1586,0
7804,0,411,0
7805,0,5361,0
7806,0,1972,0
7808,0,1201,0
7809,0,117852,0
7832,0,530,0
7833,0,19785,0
7839,114,0,0
7840,1368,11823,0
7847,0,591,0
7848,0,8532,0
7850,0,526,0
7852,10,0,0
7853,0,3048,0
7854,2,894,0
7856,0,2954,0
7857,620,0,0
7859,0,1137,0
7860,0,6792,0
7862,0,16060,0
7866,0,2962,0
7867,1,16062,0
7877,0,178,0
7882,0,4827,0
7884,0,24,0
7885,480,234,0
7887,0,5101,0
7888,0,245,0
7890,69,6182,0
7893,0,14359,0
7895,0,12417,0
7902,0,252,0
7903,0,10,0
7904,27885,0,0
7913,779,788,0
7917,0,24788,0
7923,0,37401,0
7937,5297,5679,0
7954,0,4498,0
7957,0,14,0
7958,0,18717,0
7964,0,9353,0
7968,2248,4116,0
7971,0,17,0
7972,0,10765,0
7978,0,25,0
7979,0,27588,0
7986,242,0,0
7987,0,17,0
7988,0,468,0
7989,0,8592,0
7991,2676,37236,0
8001,0,2177,0
8003,9,0,0
8004,0,2606,0
8006,889,2811,0
8008,0,5750,0
8009,0,218,0
8011,0,5342,0
8013,0,666,0
8014,0,2782,0
8017,0,3356,0
8018,0,18440,0
8022,0,5189,0
8024,0,684,0
8025,0,581,0
8026,13812,0,0
8032,0,2557,0
8034,0,24365,0
8046,1035,13190,0
8053,0,717,0
8055,0,52,0
8056,0,24717,0
8061,407,41673,0
8077,0,1080,0
8079,2790,0,0
8080,0,5205,0
8081,0,1761,0
8082,0,2035,0
8083,0,7,0
8084,38118,56587,0
8119,2345,0,0
8120,0,4877,0
8121,0,11596,0
8129,0,2060,0
8130,0,5707,0
8131,0,577,0
8132,0,10091,0
8134,0,173,0
8135,29468,0,0
8146,0,350,0
8147,0,6270,0
8150,0,4687,0
8151,0,2,0
8152,0,327,0
8155,0,5854,0
8158,0,3590,0
8159,0,5687,0
8160,0,5857,0
8162,0,11612,0
8170,0,26413,0
8175,111,0,0
8176,2190,1252,0
8187,0,4211,0
8189,0,1547,0
8193,0,10345,0
8195,0,117,0
8196,41,914,0
8198,42116,20828,0
8215,0,22,0
8217,0,960,0
8218,0,50328,0
8228,0,5794,0
8229,0,1458,0
8231,148,3489,0
8235,105938,15812,0
8280,8734,0,0
8283,0,13423,0
8289,0,5608,0
8291,394,52,0
8293,18338,71771,0
8323,0,6199,0
8328,0,22735,0
8335,0,2321,0
8336,0,7,0
8338,0,31366,0
8348,0,3704,0
8352,266,830,0
8357,35,13347,0
8365,0,6396,0
8366,0,11329,0
8369,0,2,0
8370,0,15804,0
8373,0,12642,0
8375,0,283,0
8376,0,6559,0
8378,0,1,0
8379,0,5157,0
8384,25341,19742,0
8401,0,0,778
8402,0,109,0
8405,0,3,0
8407,0,108,0
8408,0,13594,0
8412,0,9,0
8413,0,171,0
8415,0,3026,0
8417,0,2415,0
8419,0,11436,2994
8422,0,1918,0
8424,5502,4,0
8429,0,639,0
8430,582,0,0
8431,0,1676,0
8432,0,4218,0
8433,0,25533,0
8439,359,0,0
8441,0,1,0
8442,0,2470,0
8443,0,4707,0
8444,0,29029,0
8452,0,5323,0
